repo	stars	license	kicad_pcb	firmware_files	ino	platformio	updated	description
stack-chan/stack-chan	1654	apache-2.0	1	23	0	0	2026-08-18	A JavaScript-driven M5Stack-embedded super-kawaii robot.
aderusha/HASwitchPlate	739	mit	1	1	1	0	2026-08-18	LCD touchscreen for Home Automation
newdigate/teensy-eurorack	256	mit	3	57	19	0	2026-08-09	Hardware Design: Eurorack shield for teensy 4.1 with 14 in / 16 out analog channels
Jana-Marie/EF-S-Adapter	137	mit	2	808	0	0	2026-07-25	Hard- and Firmware to control different EF and EF-S lenses
goat-hill/bitclock	111	mit	1	75	0	0	2026-07-15	An e-ink desk companion
MakersAsylumIndia/M19O2	67	mit	2	231	97	0	2026-06-30	M19O2 open source hardware Oxygen Concentrator based on the Pressure Swing Adsorption cycl
vul-os/sirboard	51	apache-2.0	107	1	1	0	2026-08-11	Open hardware: 107 KiCad PCB designs — SMD-to-THT breakout adapters, ATTiny/ATMega/ESP dev
dilshan/12v-automatic-ups	47	mit	1	3	0	0	2026-08-18	12V Automatic UPS system
Pakequis/Bad-Thing-of-the-Edge-keyboard	44	mit	2	1	0	1	2026-07-18	Mechanical keyboard for left hand with Raspberry Pi Pico for games.
jsanpe/c2c-64	36	mit	1	44	12	1	2026-07-31	A Composite & S-video to Component transcoder for the OSSC
emertcakir/OpenAirScope	27	mit	1	8	0	0	2026-07-24	Open-source air quality and environmental monitoring node with STM32H743 + ESP32-C3, LoRaW
designer2k2/2d-xmas-tree	26	mit	1	1	1	0	2025-12-12	a DIY flat christmas decoration with a ATtiny25, 20 led´s and a coin cell battery 
angelnu/esphome	21	apache-2.0	8	23	0	2	2026-07-19	Settings for esphome
StarGate01/hl-alyx-glove	19	mit	1	1	0	1	2026-01-18	Firmware and Hardware for a Half-Life: Alyx Gravity Glove Replica
bertrandmartel/metec-braille-driver	19	mit	1	1	0	0	2025-10-05	:hand: Driver for Metec Braille-line 20 Cell module for Arduino & Raspberry PI
