날짜,결제시각,메뉴명,수량,결제금액
2025-03-01,19:12,소주,1,5000
2025-03-01,19:16,김치전,1,15000
2025-03-01,19:18,오돌뼈,1,17000
2025-03-01,19:21,오돌뼈,1,17000
2025-03-01,19:27,오돌뼈,1,17000
2025-03-01,19:31,하이볼,1,7000
2025-03-01,19:37,맥주,1,5000
2025-03-01,19:39,맥주,1,5000
2025-03-01,19:58,맥주,1,5000
2025-03-01,20:00,소주,1,5000
2025-03-01,20:03,소주,1,5000
2025-03-01,20:05,닭발,1,18000
2025-03-01,20:06,맥주,1,5000
2025-03-01,20:11,닭발,1,18000
2025-03-01,20:11,김치전,1,15000
2025-03-01,20:13,하이볼,1,7000
2025-03-01,20:17,김치전,1,15000
2025-03-01,20:19,오돌뼈,1,17000
2025-03-01,20:22,맥주,1,5000
2025-03-01,20:26,김치전,1,15000
2025-03-01,20:29,소주,1,5000
2025-03-01,20:30,오돌뼈,1,17000
2025-03-01,20:31,맥주,1,5000
2025-03-01,20:31,맥주,1,5000
2025-03-01,20:31,오돌뼈,1,17000
2025-03-01,20:32,맥주,1,5000
2025-03-01,20:33,맥주,1,5000
2025-03-01,20:34,오돌뼈,1,17000
2025-03-01,20:35,소주,1,5000
2025-03-01,20:37,닭발,1,18000
2025-03-01,20:39,닭발,1,18000
2025-03-01,20:40,하이볼,1,7000
2025-03-01,20:41,맥주,1,5000
2025-03-01,20:42,계란찜,1,7000
2025-03-01,20:43,닭발,1,18000
2025-03-01,20:43,닭발,1,18000
2025-03-01,20:45,소주,1,5000
2025-03-01,20:45,하이볼,1,7000
2025-03-01,20:48,소주,1,5000
2025-03-01,20:52,닭발,1,18000
2025-03-01,20:54,맥주,1,5000
2025-03-01,20:54,오돌뼈,1,17000
2025-03-01,20:56,소주,1,5000
2025-03-01,20:58,김치전,1,15000
2025-03-01,20:59,하이볼,1,7000
2025-03-01,20:59,닭발,1,18000
2025-03-01,21:01,오돌뼈,1,17000
2025-03-01,21:03,소주,1,5000
2025-03-01,21:03,계란찜,1,7000
2025-03-01,21:05,계란찜,1,7000
2025-03-01,21:06,닭발,1,18000
2025-03-01,21:08,김치전,1,15000
2025-03-01,21:09,하이볼,1,7000
2025-03-01,21:10,김치전,1,15000
2025-03-01,21:13,맥주,1,5000
2025-03-01,21:16,소주,1,5000
2025-03-01,21:17,하이볼,1,7000
2025-03-01,21:17,오돌뼈,1,17000
2025-03-01,21:20,맥주,1,5000
2025-03-01,21:22,소주,1,5000
2025-03-01,21:22,맥주,1,5000
2025-03-01,21:23,오돌뼈,1,17000
2025-03-01,21:24,소주,1,5000
2025-03-01,21:24,맥주,1,5000
2025-03-01,21:25,오돌뼈,1,17000
2025-03-01,21:29,소주,1,5000
2025-03-01,21:29,소주,1,5000
2025-03-01,21:29,맥주,1,5000
2025-03-01,21:29,맥주,1,5000
2025-03-01,21:30,맥주,1,5000
2025-03-01,21:30,닭발,1,18000
2025-03-01,21:32,하이볼,1,7000
2025-03-01,21:33,소주,1,5000
2025-03-01,21:35,하이볼,1,7000
2025-03-01,21:36,소주,1,5000
2025-03-01,21:36,계란찜,1,7000
2025-03-01,21:38,하이볼,1,7000
2025-03-01,21:39,소주,1,5000
2025-03-01,21:39,닭발,1,18000
2025-03-01,21:39,닭발,1,18000
2025-03-01,21:40,김치전,1,15000
2025-03-01,21:43,소주,1,5000
2025-03-01,21:43,소주,1,5000
2025-03-01,21:43,오돌뼈,1,17000
2025-03-01,21:44,김치전,1,15000
2025-03-01,21:45,소주,1,5000
2025-03-01,21:45,맥주,1,5000
2025-03-01,21:45,닭발,1,18000
2025-03-01,21:46,소주,1,5000
2025-03-01,21:47,소주,1,5000
2025-03-01,21:49,소주,1,5000
2025-03-01,21:50,맥주,1,5000
2025-03-01,21:51,맥주,1,5000
2025-03-01,21:51,맥주,1,5000
2025-03-01,21:51,계란찜,1,7000
2025-03-01,21:51,계란찜,1,7000
2025-03-01,21:52,소주,1,5000
2025-03-01,21:53,계란찜,1,7000
2025-03-01,21:54,김치전,1,15000
2025-03-01,21:55,소주,1,5000
2025-03-01,21:56,맥주,1,5000
2025-03-01,21:57,하이볼,1,7000
2025-03-01,21:57,오돌뼈,1,17000
2025-03-01,21:58,소주,1,5000
2025-03-01,21:59,맥주,1,5000
2025-03-01,22:02,맥주,1,5000
2025-03-01,22:03,맥주,1,5000
2025-03-01,22:07,하이볼,1,7000
2025-03-01,22:08,하이볼,1,7000
2025-03-01,22:11,맥주,1,5000
2025-03-01,22:12,소주,1,5000
2025-03-01,22:13,김치전,1,15000
2025-03-01,22:14,계란찜,1,7000
2025-03-01,22:16,소주,1,5000
2025-03-01,22:16,맥주,1,5000
2025-03-01,22:16,맥주,1,5000
2025-03-01,22:16,닭발,1,18000
2025-03-01,22:18,닭발,1,18000
2025-03-01,22:19,오돌뼈,1,17000
2025-03-01,22:21,오돌뼈,1,17000
2025-03-01,22:30,김치전,1,15000
2025-03-01,22:31,김치전,1,15000
2025-03-01,22:32,맥주,1,5000
2025-03-01,22:32,하이볼,1,7000
2025-03-01,22:35,소주,1,5000
2025-03-01,22:42,맥주,1,5000
2025-03-01,22:44,소주,1,5000
2025-03-01,22:45,하이볼,1,7000
2025-03-01,22:50,소주,1,5000
2025-03-01,22:54,소주,1,5000
2025-03-01,22:54,닭발,1,18000
2025-03-01,22:59,소주,1,5000
2025-03-01,23:10,소주,1,5000
2025-03-01,23:13,소주,1,5000
2025-03-01,23:15,맥주,1,5000
2025-03-01,23:15,하이볼,1,7000
2025-03-01,23:26,계란찜,1,7000
2025-03-01,23:29,하이볼,1,7000
2025-03-01,23:44,하이볼,1,7000
2025-03-01,23:50,소주,1,5000
2025-03-01,23:50,닭발,1,18000
2025-03-01,23:50,닭발,1,18000
2025-03-02,19:16,맥주,1,5000
2025-03-02,19:30,김치전,1,15000
2025-03-02,19:39,계란찜,1,7000
2025-03-02,19:55,하이볼,1,7000
2025-03-02,20:13,김치전,1,15000
2025-03-02,20:16,오돌뼈,1,17000
2025-03-02,20:29,닭발,1,18000
2025-03-02,20:32,김치전,1,15000
2025-03-02,20:34,소주,1,5000
2025-03-02,20:36,소주,1,5000
2025-03-02,20:37,닭발,1,18000
2025-03-02,20:43,하이볼,1,7000
2025-03-02,20:54,맥주,1,5000
2025-03-02,20:55,맥주,1,5000
2025-03-02,21:00,맥주,1,5000
2025-03-02,21:05,닭발,1,18000
2025-03-02,21:06,소주,1,5000
2025-03-02,21:07,계란찜,1,7000
2025-03-02,21:11,닭발,1,18000
2025-03-02,21:14,소주,1,5000
2025-03-02,21:14,닭발,1,18000
2025-03-02,21:14,오돌뼈,1,17000
2025-03-02,21:16,김치전,1,15000
2025-03-02,21:17,맥주,1,5000
2025-03-02,21:19,닭발,1,18000
2025-03-02,21:21,소주,1,5000
2025-03-02,21:21,맥주,1,5000
2025-03-02,21:24,소주,1,5000
2025-03-02,21:26,맥주,1,5000
2025-03-02,21:27,오돌뼈,1,17000
2025-03-02,21:28,소주,1,5000
2025-03-02,21:30,맥주,1,5000
2025-03-02,21:32,오돌뼈,1,17000
2025-03-02,21:47,하이볼,1,7000
2025-03-02,21:50,오돌뼈,1,17000
2025-03-02,21:53,맥주,1,5000
2025-03-02,21:58,소주,1,5000
2025-03-02,21:58,계란찜,1,7000
2025-03-02,22:03,소주,1,5000
2025-03-02,22:12,소주,1,5000
2025-03-02,22:12,맥주,1,5000
2025-03-02,22:13,하이볼,1,7000
2025-03-02,22:16,닭발,1,18000
2025-03-02,22:27,소주,1,5000
2025-03-02,22:31,하이볼,1,7000
2025-03-02,22:32,닭발,1,18000
2025-03-02,22:33,소주,1,5000
2025-03-02,22:34,소주,1,5000
2025-03-02,22:34,맥주,1,5000
2025-03-02,22:42,하이볼,1,7000
2025-03-02,22:50,오돌뼈,1,17000
2025-03-02,22:56,소주,1,5000
2025-03-02,23:04,소주,1,5000
2025-03-02,23:08,김치전,1,15000
2025-03-02,23:14,하이볼,1,7000
2025-03-02,23:16,맥주,1,5000
2025-03-02,23:25,닭발,1,18000
2025-03-02,23:50,소주,1,5000
2025-03-03,19:40,맥주,1,5000
2025-03-03,19:42,계란찜,1,7000
2025-03-03,19:45,소주,1,5000
2025-03-03,19:56,닭발,1,18000
2025-03-03,19:57,소주,1,5000
2025-03-03,20:06,맥주,1,5000
2025-03-03,20:10,닭발,1,18000
2025-03-03,20:12,맥주,1,5000
2025-03-03,20:12,계란찜,1,7000
2025-03-03,20:15,김치전,1,15000
2025-03-03,20:15,계란찜,1,7000
2025-03-03,20:21,하이볼,1,7000
2025-03-03,20:24,맥주,1,5000
2025-03-03,20:28,소주,1,5000
2025-03-03,20:28,계란찜,1,7000
2025-03-03,20:29,계란찜,1,7000
2025-03-03,20:35,하이볼,1,7000
2025-03-03,20:37,소주,1,5000
2025-03-03,20:39,소주,1,5000
2025-03-03,20:39,맥주,1,5000
2025-03-03,20:39,맥주,1,5000
2025-03-03,20:39,하이볼,1,7000
2025-03-03,20:39,닭발,1,18000
2025-03-03,20:40,소주,1,5000
2025-03-03,20:40,닭발,1,18000
2025-03-03,20:43,맥주,1,5000
2025-03-03,20:46,오돌뼈,1,17000
2025-03-03,20:46,오돌뼈,1,17000
2025-03-03,20:52,소주,1,5000
2025-03-03,20:58,소주,1,5000
2025-03-03,20:59,계란찜,1,7000
2025-03-03,21:05,계란찜,1,7000
2025-03-03,21:10,김치전,1,15000
2025-03-03,21:11,오돌뼈,1,17000
2025-03-03,21:17,소주,1,5000
2025-03-03,21:17,맥주,1,5000
2025-03-03,21:21,소주,1,5000
2025-03-03,21:22,닭발,1,18000
2025-03-03,21:28,소주,1,5000
2025-03-03,21:28,오돌뼈,1,17000
2025-03-03,21:28,김치전,1,15000
2025-03-03,21:33,소주,1,5000
2025-03-03,21:33,하이볼,1,7000
2025-03-03,21:34,오돌뼈,1,17000
2025-03-03,21:37,닭발,1,18000
2025-03-03,21:38,소주,1,5000
2025-03-03,21:38,닭발,1,18000
2025-03-03,21:40,닭발,1,18000
2025-03-03,21:43,닭발,1,18000
2025-03-03,21:43,닭발,1,18000
2025-03-03,21:48,맥주,1,5000
2025-03-03,21:48,오돌뼈,1,17000
2025-03-03,21:48,계란찜,1,7000
2025-03-03,21:49,김치전,1,15000
2025-03-03,21:51,소주,1,5000
2025-03-03,21:51,맥주,1,5000
2025-03-03,21:54,맥주,1,5000
2025-03-03,21:56,소주,1,5000
2025-03-03,22:11,맥주,1,5000
2025-03-03,22:23,김치전,1,15000
